laboratorio,grupo,problema,cluster_problema_manual,clean_problema,cluster_causa_manual,causa,clean_causa,consecuencia,clean_consecuencia,region
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,costo-operacional,solicitan asociatividad partes chile compleja costos operacionales,solicitan asociatividad partes chile compleja costos operacionales,limita numero postulaciones regiones insuficiente equipamiento,limita cantidad postulaciones macrozona-austral insuficiente equipamiento-científico,1
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,costo-operacional,solicitan asociatividad partes chile compleja costos operacionales,solicitan asociatividad partes chile compleja costos operacionales,limita numero postulaciones regiones insuficiente equipamiento,limita cantidad postulaciones macrozona-austral insuficiente equipamiento-científico,1
lab rif 1,fondecyt iniciación,208 mil pesos insuficienten traer tesistas pregrado regiones,financiamiento capital-humano,insuficiente financiamiento capital-humano estudiantes-postgrado macrozona-austral,costo-operacional, costos vida mayores ambas regiones, costos vida mayores macrozona-austral,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab fri 1,fondequip mediano,proceso evaluación postulación toma diferencias equipamiento terrenos laboratorios,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,equipamiento, diferenciación administrativa equipamiento terreno vs laboratorios,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral,investigadores encuentran sobrepasados exigencias,investigadores sobrepasados exigencias,0
lab rpp 1,fondecyt regular,ineficiencia centralismo gestión administrativa fiscalización anid proyectos instrumento,gestion-administrativa realidad-territorial, gestión-administrativa anid realidad-territorial macrozona-austral,gestion-administrativa anid,plataformas digitales operan adecuadamente,plataformas digitales operan adecuadamente,frustración perdida tomar decisiones retraso proyectos,frustración perdida tomar decisiones retraso proyectos,1
lab rpp 1,pai sia,falta claridad documentos presentar aceptados universidad preselección candidatos valen jerarquización,contenido bases-instrumento, bases-instrumento instrumento-anid confusas documentos presentados sirven jerarquización,descoordinación anid-universidades, anid está coordinada universidades procesos jerarquización, anid está coordinada universidades procesos jerarquización,demora procesos jerarquización,demora procesos jerarquización,0
lab rpp 1,pai sia,falta claridad documentos presentar aceptados universidad preselección candidatos valen jerarquización,contenido bases-instrumento, bases-instrumento instrumento-anid confusas documentos presentados sirven jerarquización,descoordinación anid-universidades, anid está coordinada universidades procesos jerarquización, anid está coordinada universidades procesos jerarquización,inestabilidad laboral ñ,inestabilidad laboral ñ,0
lab rpp 1,fondecyt postdoc,falta flexibilidad asignación gastos instalación,financiamiento costo-operación,insuficiente financiamiento operación gasto-instalación macrozona-austral,gestion-administrativa anid,visión centralizada instrumentos,anid visión centralizada instrumentos, investigadores deciden trasladarse región retornan regiones finalizar proyecto conellva perder capital humano rn mz, investigadores deciden no-trasladarse macrozona-austral retornan regiones finalizar proyectos conellva perder capital-humano macrozona-austral,1
lab fri 1,fondecyt iniciación,restricciones finalización anticipada proyecto,gestion-administrativa realidad-territorial, gestión-administrativa anid impone restricciones finalización anticipada proyectos,gestion-administrativa realidad-territorial,só finalización problemas desarrollo proyecto,só finalización problemas desarrollo proyecto, finalizar anticipadamente proyecto casos traslado investigador problemas surjan cambio institución entregue garantías desarrollo investigación, finalizar anticipadamente proyectos casos traslado investigadores problemas surjan cambio institución entregue garantías desarrollo investigación,0
lab rpp 1,fondecyt regular,bases cambian constantemente,contenido bases-instrumento, bases-instrumento instrumento-anid confusas actualizaciones perjudiciales,comunicacion-anid,decisiones anid desconocidas investigador@s,decisiones anid desconocidas investigadores,perdida recursos recortes recursos pagados investigadores,perdida recortes recursos pagados investigadores,0
lab rif 1,fondecyt iniciación, patrocinio institucional revisa adecuadamente anid,gestion-administrativa anid, evaluación-administrativa anid deficiente patrocinio-institucional macrozona-austral,bases-instrumento, claramente estipulado bases, claramente estipulado bases-instrumento,precarizacion investigad@r linea investigacion,precarizacion investigadores linea-investigación,1
lab fri 1,fondequip mediano,falta transparencia comite tecnico toma decisiones actas informes,comunicacion-anid, evaluación-administrativa anid deficiente poco-transparente comité ejecutivo,bases-instrumento,ausencia especificación bases comité técnico protocolo actas decisiones,ausencia especificación bases-instrumento comité técnico protocolo actas decisiones, equipos corren mas riesgo mal evaluados, equipos-investigación corren mas riesgo mal-evaluados,0
lab rif 1,fondef idea, pertinencia regional par evaluador tema desarrollar,evaluacion-anid realidad-territorial,insuficiente pertinencia par-evaluador evaluacion-administrativa anid propuesta realidad macrozona-austral,gestion-administrativa realidad-territorial, evaluación realidades regionales importantes par omite entrega apropiado, evaluación-anid no-reconoce brechas macrozona-austral entrega apropiado,proyectos mal valorados consecuencia mal evaluados,proyectos mal valorados consecuencia mal evaluados,1
lab fri 1,fondecyt iniciación,só financia asistencia congreso reunión ñ,financiamiento colaboracion-internacional, financiamiento colaboracion-internacional insuficiente congresos,financiamiento colaboracion-internacional, asistencia congresos reuniones n agrupadas ítem, asistencia congresos reuniones n agrupadas ítem, escoger viajar reunión congreso internacional ñ, escoger viajar reunión congreso internacional ñ,0
lab fri 1,fondecyt regular, reitimizar recursos colaboración internacional recursos suficientes,financiamiento colaboracion-internacional,insuficiente financiamiento colaboracion-internacional reitemizar,bases-instrumento, flexibilidad instrumento,bases-instrumento inflexible reitemizar financiamiento,perdida recursos é pandemia imposible colaboración internacional,perdida recursos é pandemia imposible colaboración internacional,1
lab fri 1,fondequip mediano,falta transparencia comite tecnico toma decisiones actas informes,comunicacion-anid, evaluación-administrativa anid deficiente poco-transparente comité ejecutivo,gestion-administrativa anid,arbitrariedad, evaluación-administrativa anid arbitraria, equipos corren mas riesgo mal evaluados, equipos-investigación corren mas riesgo mal-evaluados,0
lab fri 1,fondecyt iniciación, universidades estudiantes zonas extremas,capital-humano,insuficiente capital-humano profesionales-universidades estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, personas participen cooperen proyectos,insuficiente universidades macrozona-austral estudiantes-pregrado estudiantes-postgrado profesionales-investigación, investigador principal queda docencia gestión,investigador-principal queda docencia gestión,1
lab rpp 1,pai sia,ausencia ítem gasto financiar asistentes investigación,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano,universidades poseen apoyo administración proyectos,insuficiente apoyo-administrativo proyectos universidades,investigador invierte cantidad temas administrativos (eg licitaciones tramites aduaneros),investigador-principal invierte cantidad temas administrativos (licitaciones tramites aduaneros),1
lab rpp 1,pai sia, falta destinar docencia proyecto macrozona-austral,gestion-administrativa realidad-territorial,insuficiente gestión-proyectos restringe docencia,capital-humano, universidades australes estudiantes pre postgrado colaborar procesos investigación,insuficiente estudiantes-pregrado estudiantes-postgrado macrozona-austral, investigador grupo investigación presión abrir línea investigación destinar docencia,investigadores equipos-investigación presión abrir linea-investigación destinar docencia,1
lab rpp 1,pai sia,inestabilidad laboral ñ,bases-instrumento, bases-instrumento instrumento-anid confusas estabilidad laboral ñ,gestion-administrativa anid,demora procesos jerarquización,demora procesos jerarquización, desconoce puesto académico sueldo definitivo, desconoce puesto académico sueldo definitivo,0
lab rif 1,fondecyt iniciación, destinar recursos tesistas internacionales,financiamiento colaboracion-internacional,insuficiente financiamiento colaboracion-internacional tesistas-internacionales,gestion-administrativa anid,anid necesita rut chileno,anid necesita rut chileno,fondos destinados tesistas devolver anid,fondos destinados tesistas devolver anid,1
lab fri 1,fondequip mediano,falta transparencia comite tecnico toma decisiones actas informes,comunicacion-anid, evaluación-administrativa anid deficiente poco-transparente comité ejecutivo,gestion-administrativa anid,criterios n establecidos,criterios evaluación-administrativa anid n establecidos, equipos corren mas riesgo mal evaluados, equipos-investigación corren mas riesgo mal-evaluados,0
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,costo-operacional,falta reconocimiento particularidades regionales (universidades pequeñas recursos vs universidades mas recursos// costos operacionales mayores),anid no-reconoce brechas macrozona-austral costos operacionales mayores,limita numero postulaciones regiones insuficiente equipamiento,limita cantidad postulaciones macrozona-austral insuficiente equipamiento-científico,1
lab fri 1,fondecyt regular,falta recursos viaticos internacionales,financiamiento colaboracion-internacional,insuficiente financiamiento colaboracion-internacional viaticos investigadores-principales,financiamiento colaboracion-internacional, insuficiente monto asignado bases,insuficiente montos asignados bases-instrumento,disminuye colaboración internacional,disminuye colaboración internacional,0
lab rif 1,fondef idea, duración 24 meses proyectos fondef idea suficiente,duracion-proyectos, plazo proyectos corto,investigaciones ciclos-naturales, ajusta investigaciones aplicadas basan ciclos naturales,inapropopiada investigaciones aplicadas basan ciclos naturales,desincentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,desincentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,1
lab rif 1,fondef idea, duración 24 meses proyectos fondef idea suficiente,duracion-proyectos, plazo proyectos corto,asimetrias-proyectos, requieren período transferencia, proyectos requieren período transferencia,desincentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,desincentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,1
lab fri 1,fondecyt iniciación, evaluación subjetiva depende cantidad evaluadores experiencia previa,evaluacion-anid, evaluacion anid subjetiva,evaluacion-anid, evaluaciones mala influye decisión evaluaciones ( mala), evaluaciones mala influye decisión evaluaciones ( mala),proyectos rechazados malas calificaciones diferencias condiciones evaluación anid,proyectos rechazados malas calificaciones diferencias condiciones evaluación anid,0
lab fri 1,fondequip mediano, universidades pequeñas (mz austral) limitar número postulaciones,bases-instrumento realidad-territorial, bases-instrumento instrumento-anid realidad-territorial macrozona-austral limita cantidad postulaciones,costo-operacional,falta reconocimiento particularidades regionales (universidades pequeñas recursos vs universidades mas recursos// costos operacionales mayores),anid no-reconoce brechas macrozona-austral universidades pequeñas insuficiente financiamiento,limita numero postulaciones regiones insuficiente equipamiento,limita cantidad postulaciones macrozona-austral insuficiente equipamiento-científico,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, administración programa muestra tendencia burocratización/rigidización/falta transparencia/arbitrariedad, administración programa muestra tendencia burocratización rigidización falta-de-transparencia arbitrariedad, indicadores aplicables equipamiento cientifico terreno/zonas extremas/zonas riesgo, indicadores inaplicables equipamiento-científico terreno zonas-extremas zonas-alto-riesgo,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, programa diferencias instalacion equipamiento laboratorios terreno zonas alto riesgo zonas extremas aislamiento-austral,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, indicadores aplicables equipamiento cientifico terreno/zonas extremas/zonas riesgo, indicadores inaplicables equipamiento-científico terreno zonas-extremas zonas-alto-riesgo,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,equipamiento, diferenciación administrativa/bases equipamiento terreno vs laboratorios,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, indicadores aplicables equipamiento cientifico terreno/zonas extremas/zonas riesgo, indicadores inaplicables equipamiento-científico terreno zonas-extremas zonas-alto-riesgo,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,equipamiento, diferenciación administrativa/bases equipamiento terreno vs laboratorios,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, indicadores aplicables equipamiento cientifico terreno/zonas extremas/zonas riesgo, indicadores inaplicables equipamiento-científico terreno zonas-extremas zonas-alto-riesgo,1
lab rpp 1,pai sia, asignación bono zonas extremas remununeración,financiamiento capital-humano, financiamiento investigadores-principales incluye asignación-zona-extrema,costo-operacional, costos traslado mantención zona extrema mayores,costos traslado costos mantención mayores macrozona-austral,desigualdad frente profesionales instituciones públicas región reciben asignación,desigualdad frente profesionales instituciones públicas macrozona-austral reciben asignación-zona-extrema,1
lab rif 1,fondef idea, apoyo económico familias investigadores trasladan zonas extremas,financiamiento capital-humano, financiamiento investigadores-principales apoya traslado familias macrozona-austral,costo-operacional,costos traslado mantención zona extrema mayores,costos traslado costos mantención mayores macrozona-austral, profesionales suman proyectos impliquen cambiar domicilio zona extrema, investigadores no-se-suman proyectos impliquen cambiar domicilio macrozona-austral,1
lab fri 1,fondequip mediano,gestión rigida compleja administrativa (comite tecnico) aplica naturaleza proyectos (zonas extremas vs laboratorio),gestion-administrativa realidad-territorial, gestión-administrativa anid diferencia equipamiento-científico terrenos laboratorios,costo-operacional, consideran gastos operacionales mayores mz austral, anid no-reconoce brechas macrozona-austral relación costos operacionales, indicadores aplicables equipamiento cientifico terreno/zonas extremas/zonas riesgo, indicadores inaplicables equipamiento-científico terreno zonas-extremas zonas-alto-riesgo,1
lab fri 1,fondequip mediano, bases diferencian equipamiento terreno (z extrema/riesgosa) laboratorio condiciones mz austral,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, diferenciación administrativa equipamiento terreno vs laboratorios,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, riesgos incumplimiento mayores proyectos zonas extremas, riesgos incumplimiento mayores proyectos zonas-extremas,1
lab fri 1,fondequip mediano, bases diferencian equipamiento terreno (z extrema/riesgosa) laboratorio condiciones mz austral,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, programa instituciones generadoras conocimiento mz austral, instrumento instituciones generadoras conocimiento macrozona-austral, riesgos incumplimiento mayores proyectos zonas extremas, riesgos incumplimiento mayores proyectos zonas-extremas,1
lab fri 1,fondequip mediano, bases diferencian equipamiento terreno (z extrema/riesgosa) laboratorio condiciones mz austral,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,gestion-administrativa realidad-territorial, programa diferencias instalación equipamiento laboratorios terreno zonas alto riesgo zonas extremas aislamiento-austral,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, riesgos incumplimiento mayores proyectos zonas extremas, riesgos incumplimiento mayores proyectos zonas-extremas,1
lab fri 1,fondequip mediano,falta apoyo estructural funcionamiento óptimo sustentabilidad operación equipamiento científico,complementariedad-instrumentos,ausencia financiamiento anid asegurar operación equipamiento-científico,equipamiento,costos altos mantención/calibración/técnicos/reparaciones, equipamiento-científico costos mantención mayores costo calibración mayores costos técnicos mayores costos reparaciones mayores,perdida utilidad instrumentos despues par ñ falta calibración mantención reparación,perdida utilidad instrumentos despues par ñ falta calibración mantención reparación,1
lab fri 1,fondequip mediano,falta apoyo estructural funcionamiento óptimo sustentabilidad operación equipamiento científico,complementariedad-instrumentos,ausencia financiamiento anid asegurar operación equipamiento-científico,equipamiento,fondequip mediano mantención equipamiento / apoyo técnico / calibración,instrumento mantención equipamiento-científico apoyo técnico calibración,perdida utilidad instrumentos despues par ñ falta calibración/mantención/reparación,perdida utilidad instrumentos despues par ñ falta calibración mantención reparación,1
lab fri 1,fondequip mediano,falta apoyo estructural funcionamiento óptimo sustentabilidad operación equipamiento científico,complementariedad-instrumentos,ausencia financiamiento anid asegurar operación equipamiento-científico,equipamiento, instrumento/programa continuidad proyecto mantención/reparación/calibración equipamiento cientifico, instrumento continuidad proyectos mantención reparación calibración equipamiento,perdida utilidad instrumentos despues par ñ falta calibración/mantención/reparación,perdida utilidad instrumentos despues par ñ falta calibración mantención reparación,1
lab rif 1,fondef idea, incentivos deficientes justificar traslado doctores fondecyt postdoctorados zonas extremas,financiamiento capital-humano,insuficiente financiamiento investigadores-principales macrozona-austral,capital-humano, doctores fondecyt postdoctorados zonas extremas,insuficiente profesionales-investigación macrozona-austral, profesionales retiran medio proyectos,retiro investigadores medio proyectos,1
lab rpp 1,fondecyt regular,gastos operacionales mayores macrozona considerados instrumento,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,costo-operacional, costos vida (ej combustibles arriendos viaticos alimentos envios distancias etc) mayores ambas regiones, costos vida mayores macrozona-austral,recortes justificación aludiendo caros realidades regiones zona austral,recortes justificación aludiendo caros realidades macrozona-austral,1
lab rpp 1,fondecyt regular,gastos operacionales mayores macrozona considerados instrumento,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,evaluacion-anid realidad-territorial,decisiones distancia apelación tomadas administrativos desconocen realidad economica aislamiento austral,decisiones distancia apelación tomadas administrativos no-reconoce realidad-economica aislamiento-austral,recortes justificación aludiendo caros realidades regiones zona austral,recortes justificación aludiendo caros realidades macrozona-austral,1
lab rpp 1,fondecyt regular,gastos operacionales mayores macrozona considerados instrumento,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,evaluacion-anid realidad-territorial,decisiones distancia apelación tomadas administrativos desconocen realidad economica aislamiento austral,decisiones distancia apelación tomadas administrativos no-reconoce realidad-economica aislamiento-austral,recursos alcanzan items regiones competencia injusta,recursos alcanzan items regiones competencia injusta,1
lab rif 1,fondef idea, costos operación considerados bases insuficienten requieren porcentaje excesivo zonas extremas,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,costo-operacional, combustible caro zonas extremas, combustible caro macrozona-austral,alto nivel gasto ítem costos operación rechazos gastos altos,alto nivel gastos ítem costos operación rechazos gastos altos,1
lab rif 1,fondef idea, costos operación considerados bases insuficienten requieren porcentaje excesivo zonas extremas,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,costo-operacional, regiones extremas proveedores servicios usualmente costos altos, macrozona-austral proveedores servicios costos operacionales mayores,alto nivel gasto ítem costos operación rechazos gastos altos,alto nivel gastos ítem costos operación rechazos gastos altos,1
lab rif 1,fondef idea, costos operación considerados bases insuficienten requieren porcentaje excesivo zonas extremas,financiamiento costo-operación,insuficiente financiamiento operación macrozona-austral,gestion-administrativa realidad-territorial, regiones extremas sitios estudio n alejados conectividad deficiente ( km caminos mal ), macrozona-austral sitios estudio n alejados conectividad deficiente ( km caminos mal ),alto nivel gasto ítem costos operación rechazos gastos altos,alto nivel gastos ítem costos operación rechazos gastos altos,1
lab fri 1,fondequip mediano,falta apoyo estructural funcionamiento óptimo sustentabilidad operación equipamiento científico,complementariedad-instrumentos,ausencia financiamiento anid asegurar operación equipamiento-científico,equipamiento, instituciones (universidades) recursos mantenciones comprar repuestos, universidades recursos mantenciones comprar repuestos,perdida utilidad instrumentos despues par ñ falta calibración/mantención/reparación,perdida utilidad instrumentos despues par ñ falta calibración mantención reparación,1
lab fri 1,fondecyt iniciación, mantener cooperación internacional desarrollo proyecto,colaboracion-internacional, colaboracion-internacional sostener proyecto,financiamiento colaboracion-internacional, primeras etapas contemplan fondos ñ espera proyectos ñ generen insumos, primeras etapas contemplan fondos ñ espera proyectos ñ generen insumos,retraso significativo proyectos n condiciones colaboraciones,retraso significativo proyectos n condiciones colaboraciones,1
lab fri 1,fondecyt iniciación, mantener cooperación internacional desarrollo proyecto,colaboracion-internacional, colaboracion-internacional sostener proyecto,financiamiento colaboracion-internacional, primeras etapas contemplan fondos ñ espera proyectos ñ generen insumos, primeras etapas contemplan fondos ñ espera proyectos ñ generen insumos,disminución colaboración internacional generación redes ,disminución colaboración internacional generación redes ,1
lab rif 1,fondef idea, bases criterios escritos actú anid casos excepcionales afectan plazos realización actividades experimentales relativas ciclos biológicos,bases-instrumento, bases-instrumento instrumento-anid problemas relativos ciclos-biológicos,duracion-proyectos, ajusta investigaciones aplicadas basan ciclos naturales, ajusta investigaciones aplicadas basan ciclos naturales,desinsentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,desinsentivo postular prorrogas frecuentes dificultad desarrollar productos servicios investigación relacionada ciclos naturales,0
lab rif 1,fondef idea, apoyo económico familias investigadores trasladan zonas extremas,financiamiento capital-humano, financiamiento investigadores-principales apoya traslado familias macrozona-austral,costo-operacional,costos traslado mantención zona extrema mayores,costos traslado costos mantención mayores macrozona-austral, profesionales retiran medio proyectos, investigadores retiran medio proyectos,1
lab rif 1,fondef idea, apoyo económico familias investigadores trasladan zonas extremas,financiamiento capital-humano, financiamiento investigadores-principales apoya traslado familias macrozona-austral,costo-operacional,costos traslado mantención zona extrema mayores,costos traslado costos mantención mayores macrozona-austral, profesionales trasladan región extrema efectuar investigación, investigadores no-se-trasladan región extrema efectuar investigación,1
lab fri 1,fondecyt iniciación, universidades estudiantes zonas extremas,capital-humano,insuficiente capital-humano profesionales-universidades estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, personas participen cooperen proyectos,insuficiente universidades macrozona-austral estudiantes-pregrado estudiantes-postgrado profesionales-investigación,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab fri 1,fondecyt iniciación,falta recursos (honorarios) tesistas flexibilidad ,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,costo-operacional, costo vida alto regiones extremas, costos vida mayores macrozona-austral,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia, comunicación fluida ejecutivo proyecto asignado,comunicacion-anid, comunicación ejecutivos anid lenta,comunicacion-anid, respuestas oportunas anid solicitudes proyectos, respuestas oportunas anid solicitudes proyectos,proyectos desactualizados detenidos esperando respuestas continuidad proyectos,proyectos desactualizados detenidos esperando respuestas continuidad proyectos,0
lab fri 1,fondequip mediano,falta transparencia comite tecnico toma decisiones actas informes,comunicacion-anid, evaluación-administrativa anid deficiente poco-transparente comité ejecutivo,gestion-administrativa anid,falta protocolo definido toma decisiones resolución problemas,falta protocolo evaluación-administrativa toma decisiones resolución problemas, equipos corren mas riesgo mal evaluados, equipos-investigación corren mas riesgo mal evaluados,0
lab fri 1,fondequip mediano,falta flexibilidad mover recursos proyecto despues adjudicados proyectos,gestion-administrativa anid, evaluación-administrativa anid inflexible recursos,gestion-administrativa anid,ausencia especificación bases comité técnico protocolo actas decisiones,ausencia especificación bases-instrumento comité técnico protocolo actas decisiones, equipos corren mas riesgo mal evaluados, equipos-investigación corren mas riesgo mal evaluados,0
lab fri 1,fondecyt iniciación,falta recursos (honorarios) tesistas flexibilidad ,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, estudiantes zonas extremas especializan salir región tesis acá viajar, estudiantes macrozona-austral especializan salir región tesis región viajar,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab fri 1,fondecyt iniciación,falta recursos (honorarios) tesistas flexibilidad ,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, estudiantes disponibles universidades zonas extremas suficientes postgrados,insuficiente estudiantes-postgrado macrozona-austral,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab fri 1,fondecyt iniciación,falta recursos (honorarios) tesistas flexibilidad ,financiamiento capital-humano,inflexible insuficiente financiamiento capital-humano estudiantes-pregrado estudiantes-postgrado macrozona-austral,capital-humano, tesistas regiones extremas escasos requiere puedan colaborar proyecto, estudiantes-pregrado macrozona-austral escasos requiere puedan colaborar proyecto,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia,ausencia ítem gasto financiar asistentes investigación,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano,proyectos investigación crean línea investigación requieren asistentes,proyectos investigación crean línea investigación requieren asistentes-de-investigación,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia,ausencia ítem gasto financiar asistentes investigación,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano, requiere apoyo logístico terrenos administrativo proyecto,insuficiente apoyo-logístico terrenos apoyo-administrativo proyectos macrozona-austral,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia, gastos operación honorarios profesionales personal apoyo viajes,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano, bases está explícito financiar personal viajes pai sia, bases-instrumento está explícito financiar personal viajes pai sia,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia, gastos operación honorarios profesionales personal apoyo viajes,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano, región profesionales apoyo área científica incluirlos proyectos atraí regiones rubros,insuficiente profesionales-investigación macrozona-austral incluirlos proyectos atraí regiones rubros,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab rpp 1,pai sia,ausencia ítem gasto financiar asistentes investigación,financiamiento capital-humano,insuficiente financiamiento operación macrozona-austral gastos capital-humano asistentes-de-investigación,capital-humano,universidades poseen apoyo administración proyectos,insuficiente apoyo-administrativo proyectos universidades,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,proyectos investigadores capacidad menor productividad asociada cantidad profesionales dedicados científico,1
lab fri 1,fondequip mediano,proceso evaluación postulación toma diferencias equipamiento terrenos laboratorios,evaluacion-anid realidad-territorial, evaluación-administrativa anid propuesta diferencia equipamiento-científico terrenos laboratorios,equipamiento, diferenciación administrativa equipamiento terreno vs laboratorios,instrumento sin-diferenciación instalacion equipamiento-científico laboratorios terreno zonas-alto-riesgo zonas-extremas aislamiento-austral, decisiones recortes/multas proyectos pertinencia zonas extremas riesgosas, decisiones recortes multas proyectos pertinencia zonas-extremas zonas-alto-riesgo,0
lab rif 1,fondef idea, incentivos deficientes justificar traslado doctores fondecyt postdoctorados zonas extremas,financiamiento capital-humano,insuficiente financiamiento investigadores-principales macrozona-austral,capital-humano, instituciones empleadoras profesionales características,insuficiente instituciones empleadoras profesionales-de-la-investigación características,proyectos investigadores capacidad menor productividad asociada cantidad profesionales especialistas temas investigación,proyectos investigadores capacidad menor productividad asociada cantidad investigadores especialistas temas investigación,1
